         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           5	       react	           1	         -99	           0	           1	     8.27786	       -4.56	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.4996	    -61.1185	    -20.0636	    -16.4579	
           5	       react	           1	         -99	           0	           2	           8	       -4.56	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6710	    -50.1168	    -14.7192	    -13.6293	
           5	       react	           1	         -99	           0	           3	           8	       -4.56	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.3188	    -48.8842	    -14.1909	    -13.2771	
           5	       react	           1	         -99	           0	           4	           8	       -4.56	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0689	    -48.0096	    -13.8161	    -13.0272	
           5	       react	           1	         -99	           0	           5	           8	       -4.56	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.8751	    -47.3312	    -13.5253	    -12.8334	
           5	       react	           1	         -99	           0	           6	           8	       -4.56	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7167	    -46.7769	    -13.2878	    -12.6750	
           5	       react	           1	         -99	           0	           7	           8	       -4.56	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5829	    -46.3083	    -13.0869	    -12.5412	
           5	       react	           1	         -99	           0	           8	           8	       -4.56	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.4669	    -45.9024	    -12.9130	    -12.4252	
           5	       react	           1	         -99	           0	           9	           8	       -4.56	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.3646	    -45.5443	    -12.7595	    -12.3229	
           5	       react	           1	         -99	           0	          10	           8	       -4.56	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.2730	    -45.2240	    -12.6222	    -12.2313	
           5	       react	           1	         -99	           0	          11	           8	       -4.56	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6710	    -43.1168	    -11.7192	    -11.6293	
           5	       react	           1	         -99	           0	          12	           8	       -4.56	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.3188	    -41.8842	    -11.1909	    -11.2771	
           5	       react	           1	         -99	           0	          13	           8	       -4.56	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0689	    -41.0096	    -10.8161	    -11.0272	
           5	       react	           1	         -99	           0	          14	           8	       -4.56	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.8751	    -40.3312	    -10.5253	    -10.8334	
           5	       react	           1	         -99	           0	          15	           8	       -4.56	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7167	    -39.7770	    -10.2878	    -10.6750	
           5	       react	           1	         -99	           0	          16	           8	       -4.56	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5829	    -39.3083	    -10.0869	    -10.5412	
           5	       react	           1	         -99	           0	          17	           8	       -4.56	  1.0000e-11	  2.4000e-10	  8.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.4669	    -38.9024	     -9.9130	    -10.4252	
           5	       react	           1	         -99	           0	          18	           8	       -4.56	  1.0000e-11	  2.7000e-10	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.3646	    -38.5443	     -9.7595	    -10.3229	
           5	       react	           1	         -99	           0	          19	           8	       -4.56	  1.0000e-11	  3.0000e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2731	    -38.2240	     -9.6222	    -10.2314	
