         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           6	       react	           1	         -99	           0	           1	     6.99899	    -3.07414	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -19.1727	    -65.8567	    -19.1293	    -18.0644	
           6	       react	           1	         -99	           0	           2	     6.99898	    -3.22443	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.3684	    -59.2413	    -16.1224	    -16.2602	
           6	       react	           1	         -99	           0	           3	     6.99897	    -3.31182	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.3181	    -55.3908	    -14.3725	    -15.2098	
           6	       react	           1	         -99	           0	           4	     6.99897	    -3.37279	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.5828	    -52.6967	    -13.1489	    -14.4746	
           6	       react	           1	         -99	           0	           5	     6.99896	    -3.41839	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0290	    -50.6694	    -12.2293	    -13.9208	
           6	       react	           1	         -99	           0	           6	     6.99895	    -3.45342	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.5979	    -49.0942	    -11.5164	    -13.4896	
           6	       react	           1	         -99	           0	           7	     6.99894	    -3.48073	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.2556	    -47.8468	    -10.9534	    -13.1474	
           6	       react	           1	         -99	           0	           8	     6.99894	    -3.50229	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9793	    -46.8426	    -10.5019	    -12.8711	
           6	       react	           1	         -99	           0	           9	     6.99893	    -3.51956	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7524	    -46.0207	    -10.1338	    -12.6442	
           6	       react	           1	         -99	           0	          10	     6.99893	    -3.53364	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5625	    -45.3350	     -9.8279	    -12.4543	
           6	       react	           1	         -99	           0	          11	      6.9989	    -3.60081	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5522	    -41.7291	     -8.2427	    -11.4440	
           6	       react	           1	         -99	           0	          12	     6.99888	    -3.62701	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0785	    -40.0627	     -7.5237	    -10.9702	
           6	       react	           1	         -99	           0	          13	     6.99886	    -3.64215	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7698	    -38.9832	     -7.0616	    -10.6615	
           6	       react	           1	         -99	           0	          14	     6.99885	    -3.65239	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5409	    -38.1852	     -6.7213	    -10.4327	
           6	       react	           1	         -99	           0	          15	     6.99884	    -3.65991	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.3592	    -37.5525	     -6.4521	    -10.2510	
           6	       react	           1	         -99	           0	          16	     6.99883	    -3.66574	  1.0000e-11	  7.0000e-11	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2086	    -37.0286	     -6.2294	    -10.1004	
           6	       react	           1	         -99	           0	          17	     6.99882	    -3.67042	  1.0000e-11	  8.0000e-11	  2.4000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.0800	    -36.5815	     -6.0395	     -9.9717	
