         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	           8	       -6.76	  1.0000e-12	  1.0009e-12	  3.0027e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.1102	    -51.0434	    -15.1339	    -13.0017	
           2	       react	           1	         -99	           0	           2	           8	       -6.76	  1.0000e-12	  2.0018e-12	  6.0054e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5081	    -48.9362	    -14.2308	    -12.3997	
           2	       react	           1	         -99	           0	           3	           8	       -6.76	  1.0000e-12	  3.0027e-12	  9.0081e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1559	    -47.7036	    -13.7025	    -12.0475	
           2	       react	           1	         -99	           0	           4	           8	       -6.76	  1.0000e-12	  4.0036e-12	  1.2011e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.9060	    -46.8290	    -13.3277	    -11.7976	
           2	       react	           1	         -99	           0	           5	           8	       -6.76	  1.0000e-12	  5.0045e-12	  1.5013e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7122	    -46.1506	    -13.0370	    -11.6038	
           2	       react	           1	         -99	           0	           6	           8	       -6.76	  1.0000e-12	  6.0054e-12	  1.8016e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5539	    -45.5964	    -12.7994	    -11.4454	
           2	       react	           1	         -99	           0	           7	           8	       -6.76	  1.0000e-12	  7.0063e-12	  2.1019e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.4200	    -45.1277	    -12.5986	    -11.3115	
           2	       react	           1	         -99	           0	           8	           8	       -6.76	  1.0000e-12	  8.0072e-12	  2.4022e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.3040	    -44.7218	    -12.4246	    -11.1955	
           2	       react	           1	         -99	           0	           9	           8	       -6.76	  1.0000e-12	  9.0081e-12	  2.7024e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.2017	    -44.3637	    -12.2712	    -11.0932	
           2	       react	           1	         -99	           0	          10	           8	       -6.76	  1.0000e-12	  1.0009e-11	  3.0027e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.1102	    -44.0434	    -12.1339	    -11.0017	
           2	       react	           1	         -99	           0	          11	           8	       -6.76	  1.0000e-11	  2.0018e-11	  6.0054e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5081	    -41.9362	    -11.2308	    -10.3997	
           2	       react	           1	         -99	           0	          12	           8	       -6.76	  1.0000e-11	  3.0027e-11	  9.0081e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1559	    -40.7036	    -10.7025	    -10.0475	
           2	       react	           1	         -99	           0	          13	           8	       -6.76	  1.0000e-11	  4.0036e-11	  1.2011e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9060	    -39.8290	    -10.3277	     -9.7976	
