         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	      i_soln	           1	         -99	         -99	         -99	     6.01598	        2.95	         -99	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	   -999.9990	   -999.9990	   -999.9990	
           2	       react	           1	         -99	           0	           1	     6.01598	    -2.10937	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.0112	    -99.7394	    -37.0050	    -26.1831	
           2	       react	           1	         -99	           0	           2	     6.01598	    -2.26002	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.2040	    -93.1129	    -33.9929	    -24.3759	
           2	       react	           1	         -99	           0	           3	     6.01599	    -2.34802	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.1478	    -89.2401	    -32.2326	    -23.3197	
           2	       react	           1	         -99	           0	           4	     6.01599	    -2.41047	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -23.3983	    -86.4921	    -30.9835	    -22.5702	
           2	       react	           1	         -99	           0	           5	     6.01599	    -2.45896	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -22.8166	    -84.3590	    -30.0139	    -21.9884	
           2	       react	           1	         -99	           0	           6	     6.01599	    -2.49854	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -22.3416	    -82.6175	    -29.2223	    -21.5135	
           2	       react	           1	         -99	           0	           7	     6.01599	    -2.53204	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.9397	    -81.1439	    -28.5525	    -21.1116	
           2	       react	           1	         -99	           0	           8	     6.01599	    -2.56105	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.5916	    -79.8676	    -27.9723	    -20.7635	
           2	       react	           1	         -99	           0	           9	     6.01599	    -2.58667	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.2844	    -78.7409	    -27.4602	    -20.4562	
           2	       react	           1	         -99	           0	          10	     6.01599	    -2.60956	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.0098	    -77.7340	    -27.0025	    -20.1816	
           2	       react	           1	         -99	           0	          11	       6.016	    -2.76014	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -19.2032	    -71.1098	    -23.9915	    -18.3750	
           2	       react	           1	         -99	           0	          12	     6.01601	     -2.8482	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -18.1466	    -67.2356	    -22.2305	    -17.3184	
           2	       react	           1	         -99	           0	          13	     6.01602	    -2.91068	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.3969	    -64.4868	    -20.9811	    -16.5688	
           2	       react	           1	         -99	           0	          14	     6.01603	    -2.95915	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.8154	    -62.3548	    -20.0120	    -15.9873	
           2	       react	           1	         -99	           0	          15	     6.01604	    -2.99875	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.3403	    -60.6128	    -19.2202	    -15.5122	
           2	       react	           1	         -99	           0	          16	     6.01604	    -3.03223	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.9387	    -59.1400	    -18.5507	    -15.1105	
           2	       react	           1	         -99	           0	          17	     6.01605	    -3.06123	  1.0000e-11	  2.4000e-10	  8.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.5907	    -57.8643	    -17.9709	    -14.7626	
           2	       react	           1	         -99	           0	          18	     6.01606	    -3.08681	  1.0000e-11	  2.7000e-10	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.2839	    -56.7392	    -17.4595	    -14.4558	
           2	       react	           1	         -99	           0	          19	     6.01607	    -3.10969	  1.0000e-11	  3.0000e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0094	    -55.7329	    -17.0021	    -14.1813	
           2	       react	           1	         -99	           0	          20	     6.01608	    -3.13039	  1.0000e-11	  3.3000e-10	  1.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.7612	    -54.8226	    -16.5883	    -13.9330	
           2	       react	           1	         -99	           0	          21	     6.01617	    -3.27052	  1.0000e-10	  6.3000e-10	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.0803	    -48.6602	    -13.7877	    -12.2521	
